/Users/adavidbailey/Practice-Bidding-Scenarios/bba/Rule_of_16_17.pbn
board declarer contract score  par     | notes
  345     N       2N      -50         | 
  346     N       3N     -100         | 
  347     N       2N      120         | Stayman
  348     W       3S     -140         | Stayman
  349     N       2N      150         | 
  350     N       2N      150         | 
  351     N       2N      120         | Stayman
  352     N       3N      400         | 
  353     N       2N      120         | 
  354     N       2N      120         | 
  355     N       3N      -50         | 
  356     N       4H     -100         | Stayman
  357     N       2N      150         | Stayman
  358     N       2N      120         | 
  359     N       3N     -200         | 
  360     N       2N      150         | Stayman
  361     N       2N      120         | 
  362     N       3N      600         | 
  363     N       4H      -50         | Stayman
  364     N       2N      120         | 
  365     N       2N     -100         | 
  366     N       4H      -50         | Stayman
  367     N       3N     -100         | 
  368     N       2H      110         | Stayman
  369     N       2N      150         | Stayman
  370     N       2N      150         | Stayman
  371     N       3N      400         | Stayman
  372     N       2N      120         | Stayman
  373     N       4H      620         | Stayman
  374     N       2N      150         | Stayman
  375     N       3N     -100         | Stayman
  376     N       2N      120         | Stayman
  377     N       3N      400         | 
  378     N       2N      120         | 
  379     N       3D      130         | Stayman
  380     N       3N      600         | Stayman
  381     N       2N      120         | Stayman
  382     N       3N      -50         | 
  383     N       3N      600         | 
  384     N       4H      420         | Stayman
  385     N       2N      120         | 
  386     N       2N      150         | Stayman
  387     N       3N      -50         | 
  388     N       2N      120         | Stayman
  389     N       4S      620         | Stayman
  390     N       3N      400         | 
  391     N       2N      120         | Stayman
  392     N       4S      420         | Stayman
  393     N       2N      150         | 
  394     N       4S      620         | Stayman
  395     N       4H      -50         | Stayman
  396     N       2N      120         | Stayman
  397     N       3N      600         | 
  398     N       2N      120         | Stayman
  399     N       2N      120         | Stayman
  400     N       3N      400         | 
  401     N       3N      -50         | 
  402     N       3N      600         | 
  403     N       3N      400         | 
  404     N       2N      120         | 
  405     N       3N      600         | Stayman
  406     N       2N      -50         | 
  407     N       2N      150         | Stayman
  408     N       2N      120         | Stayman
  409     N       3N      400         | 
  410     N       2N      120         | 
  411     N       3S      -50         | Stayman
  412     N       2N      120         | Stayman
  413     N       2N      150         | Stayman
  414     N       3N      -50         | Stayman
  415     N       2N      120         | Stayman
  416     N       3N      -50         | Stayman
  417     N       2H      140         | Stayman
  418     N       2N      120         | Stayman
  419     N       2N      -50         | 
  420     N       2N      120         | Stayman
  421     W      3CX     -470         | Stayman
  422     N       2N      120         | Stayman
  423     N       2N      120         | 
  424     N       2N      120         | 
  425     N       2N      120         | Stayman
  426     N       2N      150         | Stayman
  427     N       2N      150         | Stayman
  428     N       2N      120         | Stayman
  429     N       2N      150         | 
  430     N       2N      120         | 
  431     N       4S      620         | Stayman
  432     N       3H      140         | Stayman
  433     N       3N     -100         | 
  434     N       2N      120         | 
  435     N       3N      -50         | 
  436     N       2N      120         | Stayman
  437     N       2N      120         | 
  438     N       2N      120         | 
  439     N       2N      150         | Stayman
  440     N       2N      120         | Stayman
  441     N       2N      120         | 
  442     N       2N      150         | 
  443     N       2N      120         | Stayman
  444     N       2N      150         | 
  445     N       2H      110         | Stayman
  446     N       2N      120         | Stayman
  447     N       4S     -100         | Stayman
  448     N       2N      150         | Stayman
  449     N       3N      -50         | 
  450     N       2N      120         | Stayman
  451     W       3C     -110         | Stayman
  452     N       4S      620         | Stayman
  453     N       2N      150         | 
  454     N       3N      400         | 
  455     N       2N      120         | 
  456     N       3N      -50         | 
  457     N       2N      150         | 
  458     N       2N      120         | Stayman
  459     N       2N      120         | 
  460     N       2N      120         | Stayman
  461     W       2S      100         | Stayman
  462     N       2N      150         | Stayman
  463     N       2N      150         | Stayman
  464     N       2N      120         | Stayman
  465     N       2N      120         | Stayman
  466     N       4S      620         | Stayman
  467     N       3N      -50         | 
  468     N       2N      120         | Stayman
  469     N       4H      620         | Stayman
  470     N       2N      120         | 
  471     N       4H     -100         | Stayman
  472     N       2N      150         | Stayman
  473     N       3N      400         | 
  474     N       3N     -100         | Stayman
  475     W       3H     -170         | 
  476     N       2N      120         | Stayman
  477     N       3N      600         | 
  478     N       2N      120         | Stayman
  479     N       4S     -100         | Stayman
  480     N       2N      120         | 
  481     N       2N      120         | 
  482     N       2N      120         | 
  483     N       3N      400         | 
  484     N       2N      120         | Stayman
  485     N       3H      140         | Stayman
  486     N       4H      420         | Stayman
  487     N       2N      120         | Stayman
  488     N       4S      420         | Stayman
  489     N       4H      420         | Stayman
  490     N       2N      120         | Stayman
  491     N       4S      -50         | Stayman
  492     N       3N      600         | 
  493     N       3H      140         | Stayman
  494     N       2N      120         | 
  495     N       4H      620         | Stayman
  496     N       2N      120         | Stayman
  497     N       2N      150         | Stayman
  498     N       2N     -100         | Stayman
  499     N       4S      420         | Stayman
Statistics for /Users/adavidbailey/Practice-Bidding-Scenarios/bba/Rule_of_16_17.pbn

nDeals = 487
nGames = 101
%Games = 20.739219712525667%

    1  Limit raise or better in !h
  297  Stayman
    2  Strength cue bid
    1  Unusual 2nt
