../bba/After_3_Passes.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
81    W  2H-W      -110          KT965.63.QT6.K62 Q84.KQT2.A753.97 7.AJ9.K942.AJT43 AJ32.8754.J8.Q85 | P-P-P-1C-P-1S-X=1=-1N-2H | Two suit takeout double
82    W  2D-N        90          943.3.QJ7653.A95 AQJ6.642.A92.T63 82.AJT98.K.KJ872 KT75.KQ75.T84.Q4 | P-2D
83    W  1N-S        90          K92.AJ53.873.873 876.K982.KT6.A54 AJ4.T4.A54.QJT92 QT53.Q76.QJ92.K6 | P-P-P-1C-P-1H-P-1N
84    W  2H-S       140          AQ83.A54.982.643 J96.K87.A53.JT72 K4.QJT92.QJT6.K5 T752.63.K74.AQ98 | P-P-P-1H-P-2C=1=-P-2D=2=-P-2H | Reverse drury | Artificial
85    W  -W                      KJ64.JT4.A5.Q983 QT92.A986.942.J6 853.Q7.KQ73.AT42 A7.K532.JT86.K75 | P
86    W  1N-W       -90          AQ74.82.T72.J653 JT83.AT97.K65.K8 K5.K653.AQ93.T97 962.QJ4.J84.AQ42 | P-P-1D-P-1N
87    W  2H-N       110          A987.A975.T85.Q6 QT642.K63.K2.974 J3.Q82.AJ76.AT82 K5.JT4.Q943.KJ53 | P-P-P-1D-P-1H-1S-X=1=-P-2H | Support double redouble
88    W  -W                      83.AK84.KT62.J86 AT76.973.A98.T92 KQ94.QT62.53.A73 J52.J5.QJ74.KQ54 | P
89    W  3C-N       150          KJT6.K8.843.AT65 A9432.754.965.73 7.AQ62.AQT2.Q842 Q85.JT93.KJ7.KJ9 | P-P-P-1D-P-1S-P-1N-P-2C-P-3C
90    W  2C-S       110          KT83.K8754.64.QT 642.QT63.KJ53.A5 AQ9..A872.J98632 J75.AJ92.QT9.K74 | P-P-P-1C-P-1H-P-2C
91    W  -W                      A932.K82.K75.862 86.QT64.QT94.AT7 Q75.A53.J82.KJ95 KJT4.J97.A63.Q43 | P
92    W  2D-E       -90          KQ92.J63.J76.A32 J5.QT8.KT852.Q54 AT64.A95.Q.JT986 873.K742.A943.K7 | P-P-2D
93    W  1H-N       110          KJ43.KQJ7.74.J93 872.32.AT85.QT87 96.AT4.KJ962.A42 AQT5.9865.Q3.K65 | P-P-P-1D-P-1H
94    W  1N-S        90          AQJ6.865.7654.T6 8432.KQ9.T82.A98 K.JT72.AQ93.K432 T975.A43.KJ.QJ75 | P-P-P-1D-P-1S-P-1N
95    W  2C-S       130          Q642.A832.JT96.7 A875.T975.A74.J8 9.KJ.K82.AQ96432 KJT3.Q64.Q53.KT5 | P-P-P-1C-P-1H-P-2C
96    W  3N-S       400          AJ42.32.953.AQ95 KQT5.Q7.A82.T873 76.AKT84.Q64.KJ2 983.J965.KJT7.64 | P-P-P-1H-P-1S-P-1N-P-2C-P-2N-P-3N
97    W  2N-N       120          T43.A8.A943.QJ93 QJ92.Q963.J6.T84 A5.KJ542.852.A65 K876.T7.KQT7.K72 | P-P-P-1H-P-2D-P-2H-P-2N
98    W  3H-N      -200          QT8.AT83.JT.Q875 A7652.J7.964.K64 94.Q52.AQ82.AJ93 KJ3.K964.K753.T2 | P-P-2S-X-P-3H
99    W  2N-S       120          QJ74.K3.KT96.JT4 T52.Q972.Q5.KQ82 K3.JT85.A43.A753 A986.A64.J872.96 | P-P-P-1C-P-1S-P-1N-P-2D-P-2N
100   W  -W                      754.KQ8.A952.J98 QJ3.T542.KJ3.AT7 AK8.A976.T87.643 T962.J3.Q64.KQ52 | P
101   W  3D-E       100          A874.T52.Q83.K52 Q95.J64.T952.A86 K2.AQ973.K74.JT3 JT63.K8.AJ6.Q974 | P-P-P-1H-P-2H-P-P-X-P-3D
102   W  3D-S       130          AJT7.74.T862.A64 K632.AT82.3.KJT2 4.Q95.AKQ75.Q987 Q985.KJ63.J94.53 | P-P-1C-1D-X-2D-2H-3D
103   W  2S-S       140          T652.AJ93.A.Q653 K8.K75.JT976.942 QJ43.T4.K52.AJT8 A97.Q862.Q843.K7 | P-1C-P-1S-P-2S
104   W  1N-S        90          QJ2.JT976.Q6.Q96 875.Q542.K742.A2 964.A3.AJ53.K743 AKT3.K8.T98.JT85 | P-P-P-1D-P-1H-P-1N
105   W  3N-S       400          J86.J2.A532.AJ63 K9752.K763..Q874 AQ.Q95.QT87.KT52 T43.AT84.KJ964.9 | P-P-P-1D-P-2C-P-3N
106   W  1N-N       120          Q97.AT9.KJ53.J83 KJ2.Q62.QT8.Q942 T863.K874.A974.A A54.J53.62.KT765 | P-P-P-1D-P-1N
107   W  2N-S       120          6542.A94.85.AQ87 T87.KT6.T72.KT95 AQ.8532.AK93.432 KJ93.QJ7.QJ64.J6 | P-P-P-1D-P-1S-P-1N-P-2C-P-2N
108   W  1N-N       120          A872.T7.Q987.KJ3 53.AJ8.JT32.AT95 KJ.Q9642.A65.Q62 QT964.K53.K4.874 | P-P-P-1H-1S-1N
