..\bba\Opps_Bal_Unusual_2N.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
102   S  2S-S       140          KJ4.QJ642.753.J3 96.A983.J86.A542 AQT32.K75.A2.876 875.T.KQT94.KQT9 | 1S-P-2S
103   S  2H-S       140          KJT97.QJ2.832.74 AQ84.763.A65.832 52.KT985.Q4.AK65 63.A4.KJT97.QJT9 | 1H-P-2H
104   S  3H-S       140          Q64.J98.J65.A832 J852.A42.A732.54 AK97.KQ765.8.J76 T3.T3.KQT94.KQT9 | 1H-P-2H-P-P-3D-3H
105   S  2S-S       110          J75.Q9642.A752.6 A84.T875.63.A852 KQ632.KJ.Q84.K73 T9.A3.KJT9.QJT94 | 1S-P-2S
106   S  2S-S       140          543.KJT932.Q.K64 Q92.A84.7652.J32 AKT86.Q6.A843.75 J7.75.KJT9.AQT98 | 1S-P-2S
107   S  3S-S       140          764.JT96.A64.Q74 T5.AQ83.J87.K852 AKQJ8.K754.53.63 932.2.KQT92.AJT9 | 1S-P-2S-P-P-3D-P-P-3S
108   S  3S-S       200          JT6.AK983.732.62 73.Q65.KJ85.J873 AKQ84.JT74.64.A4 952.2.AQT9.KQT95 | 1S-P-2S-P-P-3C-P-P-3S
109   S  2S-S       140          652.97543.K.A754 K84.AJ8.8764.632 AQJT7.KQT.J32.J8 93.62.AQT95.KQT9 | 1S-P-2S
110   S  3H-S       -50          Q9763.Q32.62.K32 A852.J8.A8753.84 KT4.K9654.K4.A65 J.AT7.QJT9.QJT97 | 1H-P-2H-P-P-3C-P-P-3H
111   S  3S-S       140          762.8542.A76.AJ5 T9.AJ63.K32.8743 AKJ43.KQT7.854.2 Q85.9.QJT9.KQT96 | 1S-P-2S-P-P-3C-3S
112   S  2S-S       170          642.AKT93.65.854 K5.J65.K32.KJ762 AQ873.Q874.A84.3 JT9.2.QJT97.AQT9 | 1S-P-2S
113   S  3D-W      -130          AKT752.965.53.73 J9.Q7.A8642.Q864 Q643.AKJ83.K.J52 8.T42.QJT97.AKT9 | 1H-P-2H-P-P-3D
114   S  3S-S      -100          Q85.KJT84.Q73.82 J74.A76.K654.J75 AK962.Q53.82.K63 T3.92.AJT9.AQT94 | 1S-P-2S-P-P-3C-3S
115   S  2S-S       140          954.K9.Q86532.A5 AT6.A854.7.87632 KJ832.QJT72.A.J4 Q7.63.KJT94.KQT9 | 1S-P-2S
116   S  2S-S       140          K54.JT764.83.A74 J93.AQ3.7654.862 Q8762.K92.AK2.Q5 AT.85.QJT9.KJT93 | 1S-P-2S
117   S  4H-S       620          K986.Q94.753.KJ4 T32.865.AK862.83 AJ54.AKJT2.4.752 Q7.73.QJT9.AQT96 | 1H-P-2H-P-P-3C-X-P-4H
118   S  2S-S       110          A87.Q6432.2.Q832 Q95.K87.A8653.65 KJ643.AJ5.J74.K4 T2.T9.KQT9.AJT97 | 1S-P-2S
119   S  2H-S       170          KJ954.872.74.A83 QT73.4.AJ652.J64 A82.AKQT93.83.72 6.J65.KQT9.KQT95 | 1H-P-2H
120   S  3S-S       -50          Q96.8764.A853.K3 J52.AK92.764.742 AK874.J53.K2.J85 T3.QT.QJT9.AQT96 | 1S-P-2S-P-P-3C-3S
121   S  4H-S       450          AKQ65.T84.854.43 982.9.A7632.Q875 T74.AKQJ752.J.K6 J3.63.KQT9.AJT92 | 1H-P-2H-P-4H
122   S  2H-S       170          J8654.J853.K83.6 AK.74.7652.K8542 Q932.AQT96.A4.Q7 T7.K2.QJT9.AJT93 | 1H-P-2H
123   S  3H-S       140          KQ42.984.75.K843 J93.KQ5.J64.Q762 A875.A7632.A32.5 T6.JT.KQT98.AJT9 | 1H-P-2H-P-P-3D-3H
124   S  3S-S       170          T75.K963.A743.Q8 J8.A854.K862.765 AKQ64.QT72.5.J43 932.J.QJT9.AKT92 | 1S-P-2S-P-P-3C-3S
125   S  2S-S       140          A97.AT74.8753.J6 JT4.Q965.AQ62.73 KQ853.KJ3.4.K854 62.82.KJT9.AQT92 | 1S-P-2S
126   S  3H-S       140          KT64.J84.53.AJ52 A982.A9.8742.643 QJ75.KQ762.KQ6.7 3.T53.AJT9.KQT98 | 1H-P-2H-P-P-3C-3H
127   S  3S-S       140          J85.K9643.A5.754 A94.J75.87632.Q3 KQT76.QT2.K4.A86 32.A8.QJT9.KJT92 | 1S-P-2S-P-P-3C-3S
128   S  2S-S       140          KT64.QT75.K3.853 J9.KJ96.854.K742 A8752.A32.A62.J6 Q3.84.QJT97.AQT9 | 1S-P-2S
129   S  4D-W        50          QJT.QJ8765.Q3.82 A74.AT.8742.7643 98653.K32.K6.AK5 K2.94.AJT95.QJT9 | 1S-P-2S-P-P-3D-3S-4D
130   S  3H-S       140          QT9.T92.A874.J65 K642.A6.K65.8742 AJ83.QJ8754.3.A3 75.K3.QJT92.KQT9 | 1H-P-2H-P-P-3D-P-P-3H
131   S  2S-S       170          963.KQ5.8762.K63 AJ5.J97.Q53.J854 KQT87.AT432.A4.7 42.86.KJT9.AQT92 | 1S-P-2S
132   S  2S-S       110          JT9.AQ643.8542.6 742.K98.AQ.J7542 AKQ63.752.73.K83 85.JT.KJT96.AQT9 | 1S-P-2S
133   S  3D-W      -110          KJ752.Q76.64.J83 T983.A8.Q5.A7654 AQ6.KJT95.K873.2 4.432.AJT92.KQT9 | 1H-P-2H-P-P-3D
134   S  2S-S       140          J54.AJ6.832.J764 AT3.987.K65.A532 KQ762.KQ532.Q4.8 98.T4.AJT97.KQT9 | 1S-P-2S
135   S  2H-S       140          J76.Q74.A86.Q832 AQ94.T86.J432.75 K853.AK532.75.K4 T2.J9.KQT9.AJT96 | 1H-P-2H
136   S  3DX-W      300          A53.T97.J8.A8542 K984.A84.765.763 QJT2.KQJ62.Q43.Q 76.53.AKT92.KJT9 | 1H-P-2H-P-P-3D-X
137   S  2H-S       140          QT842.QT4.83.K64 AK53.J83.J52.732 J6.AK762.A64.Q85 97.95.KQT97.AJT9 | 1H-P-2H
138   S  2S-S       170          KQ9.T542.K642.54 764.976.A87.KJ63 AJ852.AKJ8.5.872 T3.Q3.QJT93.AQT9 | 1S-P-2S
139   S  3H-S       170          Q86542.AJ7.83.75 KT73.K63.7642.Q3 A.QT542.AK.J8642 J9.98.QJT95.AKT9 | 1H-P-2H-P-P-3D-P-P-3H
140   S  3H-S       140          653.K95.53.A8732 AJ92.J6.KJ74.654 KT74.AQT732.86.K Q8.84.AQT92.QJT9 | 1H-P-2H-P-P-3D-P-P-3H
141   S  2S-S       110          J95.Q965.A6.8742 KT3.J732.K875.K6 A7642.AK4.432.J3 Q8.T8.QJT9.AQT95 | 1S-P-2S
142   S  3S-S       140          QJ4.9653.A6.Q743 A76.QT2.8753.J82 KT532.AK74.K2.65 98.J8.QJT94.AKT9 | 1S-P-2S-P-P-3D-3S
143   S  3C-W      -130          AJ6.K7642.842.32 72.983.AK653.Q85 KQ954.AQT5.7.J76 T83.J.QJT9.AKT94 | 1S-P-2S-P-P-3C
144   S  2H-S       -50          AT97.843.543.K32 KJ53.KQ6.Q86.854 Q64.AJ952.A7.J76 82.T7.KJT92.AQT9 | 1H-P-2H
145   S  2S-S       170          752.AQ842.73.J85 98.T973.AQ8.A763 AKQT4.KJ5.6542.2 J63.6.KJT9.KQT94 | 1S-P-2S
146   S  3S-S       140          JT93.AT73.J63.64 A5.J96.Q4.Q87532 KQ862.KQ54.852.A 74.82.AKT97.KJT9 | 1S-P-2S-P-P-3D-P-P-3S
147   S  2H-S       140          7652.QJ7.52.A743 Q843.A65.Q873.86 AK9.KT943.J4.K52 JT.82.AKT96.QJT9 | 1H-P-2H
148   S  2H-S       140          T97543.K85.J8.A4 AQ62.32.K5.86532 KJ.AQJ64.6432.J7 8.T97.AQT97.KQT9 | 1H-P-2H
149   S  4H-S       650          AK98764.T53.84.3 QT2.K2.765.KJ864 J.AJ9864.AK2.752 53.Q7.QJT93.AQT9 | 1H-P-2H-P-P-3D-3H-P-4H
150   S  2S-S       170          AJ5.AT76.742.842 32.KQ84.J865.J53 KQ987.J952.A3.A6 T64.3.KQT9.KQT97 | 1S-P-2S
151   S  2H-S       140          AKT63.762.Q8.864 Q54.K93.6543.K75 J72.AQJT8.A72.J3 98.54.KJT9.AQT92 | 1H-P-2H
152   S  3CX-W     -570          872.QJT9.KJ43.74 Q53.K8.7652.KQ65 AKJ96.A6542.8.83 T4.73.AQT9.AJT92 | 1S-P-2S-P-P-3C-P-P-X
153   S  2S-S       110          863.A876.764.A75 KJ4.JT95.Q83.842 AQT97.KQ4.J52.Q3 52.32.AKT9.KJT96 | 1S-P-2S
154   S  2H-S       140          K762.K654.8752.5 QJT9.QT.Q3.Q8732 A43.AJ983.A64.J6 85.72.KJT9.AKT94 | 1H-P-2H
