/Users/adavidbailey/Practice-Bidding-Scenarios/BBA/Drury-GIB.pbn
board declarer contract score | notes
 327     N        4S     450  | Splinter
 328     N        4H     420  | 
 329     N        4S     450  | 
 330     N        4S     420  | Cue bid, surplus
 331     N        4H     420  | 1M-3M inviting
 332     N        4S     620  | 1M-3M inviting
 333     N        4S     650  | 1M-3M inviting
 334     N        4H     420  | 1M-3M inviting
 335     N        3N     630  | 
 336     N        4S     450  | 
 337     N        2S     170  | 
 338     N        2H     200  | 
 339     N        4S     420  | 1M-3M inviting
 340     N        4S     450  | 
 341     N        4S     650  | 
 342     N        4S     420  | 1M-3M inviting
 343     N        4S     450  | 
 344     N        2H     170  | 
 345     N        4S     450  | 1M-3M inviting
 346     N        4S     450  | 
 347     N        4H     450  | 
 348     N        4H     620  | 1M-3M inviting
 349     N        4S     650  | 
 350     N        4S     450  | 1M-3M inviting
 351     N        3H     140  | 
 352     N        2H     170  | 
 353     N        4H     420  | 
 354     S        1N     120  | 
 355     N        4H     450  | 
 356     N        4H     420  | Cue bid, a !S stopper
 357     N        4S     620  | Cue bid, surplus | Cue bid, a !C stopper | Cue bid, a !D stopper
 358     N        4S     420  | 1M-3M inviting
 359     N        4H     450  | 
 360     N        4H     420  | 
 361     N        4S     450  | Cue bid, surplus
 362     N        4H     -50  | 1M-3M inviting
 363     N        2S     170  | 
 364     N        4H     650  | 
 365     N        4S     620  | 
 366     N        3S     170  | 1M-3M inviting
 367     N        4S     620  | 
 368     N        4S     450  | 1M-3M inviting
 369     N        4H     420  | 
 370     N        4H     680  | 
 371     S        1N     150  | 
 372     N        4S     450  | 
 373     N        4S     620  | 
 374     N        4H     450  | 
 375     N        4H     450  | 1M-3M inviting | Cue bid, a !C stopper
 376     N        4S     420  | 1M-3M inviting
 377     N        4S     420  | 
 378     N        4S     420  | 1M-3M inviting
 379     N        4H     480  | Splinter
 380     N        4S     620  | 1M-3M inviting
 381     N        4S     620  | 
 382     N        4S     -50  | 1M-3M inviting
 383     W        2S     -110 | 
 384     N        4H     -50  | 1M-3M inviting
 385     N        2H     140  | 
 386     N        2H     140  | 
 387     N        4H     420  | 
 388     N        3S     170  | 
 389     N        4S     620  | 1M-3M inviting
 390     N        4H     480  | 
 391     N        4S     450  | 1M-3M inviting
 392     S        1N     120  | 
 393     N        4H     450  | 
 394     N        4H     480  | 
 395     N        4S     420  | Cue bid, a !H stopper
 396     N        4H     620  | 
 397     N        3H     170  | 
 398     N        4H     420  | Cue bid, a !C stopper
 399     N        4H     -100 | 
 400     N        6S     -50  | 1M-3M inviting | Cue bid, a !C stopper | Blackwood 0314, for !S
 401     N        4S     420  | 1M-3M inviting
 402     N        4H     650  | 
 403     N        4H     450  | 1M-3M inviting
 404     N        3S     140  | 1M-3M inviting
 405     N        6H     -100 | 
 406     N        3S     170  | 
 407     N        4S     420  | 
 408     N        2S     170  | 
 409     N        4H     450  | 
 410     N        4H     450  | Splinter
 411     N        4H     420  | 
 412     N        4S     620  | 1M-3M inviting
 413     N        3S     170  | 1M-3M inviting
 414     N        2H     140  | 
 415     N        2S     140  | 
 416     N        4S     480  | 
 417     N        4S     450  | 
 418     N        4H     620  | 
 419     N        3S     170  | 
 420     N        4H     420  | 1M-3M inviting
 421     S        4S     620  | 
 422     N        4S     450  | Splinter
 423     N        4S     420  | Cue bid, surplus
 424     N        3S     140  | 
 425     N        2H     170  | 
 426     N        4H     420  | 1M-3M inviting
 427     N        2H     170  | 
 428     S        4S     650  | 
 429     N        2S     110  | 
 430     N        4H     480  | 
 431     N        3H     170  | 1M-3M inviting
 432     N        4H     450  | 
 433     N        2H     140  | 
 434     N        4H     620  | 
 435     N        4S     450  | 
 436     N        4S     420  | 
 437     N        4H     650  | 1M-3M inviting
 438     N        2S     140  | 
 439     N        4H     420  | 
 440     N        3H     170  | 
 441     N        2H     170  | 
 442     N        4S     420  | 
