/Users/adavidbailey/Practice-Bidding-Scenarios/BBA/After_Opp_Overcalls.pbn
board declarer contract score  par     | notes
  207     W       2S     -140  W S 9  | 
  208     S       4S      -50  S S 9  | 
  209     S       4S      450  S S 11 | Limit raise or better in !s
  210     S       3H      170  S H 10 | 
  211     S      1NX     -100  S NT 6 | 
  212     E      6CX    -1540  E C 12 | Support 1nt | Exclusion, for !c
  213     S       4S      680  S S 12 | Limit raise or better in !s
  214     S       3H      170  S H 10 | 
  215     S       4S      650  S S 11 | 1m-3m inviting
  216     S       3D      -50  S D 8  | 
  217     S       4S      420  S S 10 | Forcing 1nt
  218     S       4H      620  S H 10 | Limit raise or better in !h
  219     S       2S      110  S S 8  | 
  220     W       4H     -420  W H 10 | Mixed raise,  !h | Max 2 !s
  221     W       2H      100  W H 7  | 
  222     S       4S      420  S S 10 | 
  223     W       4H       50  W H 9  | 
  224     N       3H      200  N H 11 | 
  225     S       3C      130  S C 10 | 1m opening allows 5m
  226     S       3S     -100  S S 8  | 
  227     S       4H      420  S H 10 | 
  228     S       3S      140  S S 9  | Responsive double
  229     E      5HX     -650  E H 11 | Support 1nt
  230     S       2S      110  S S 8  | 
  231     S       4H      680  S H 12 | Limit raise or better in !h
  232     W       3H     -140  W H 9  | 
  233     W       4H      100  W H 9  | 
  234     W      5CX     -750  W C 11 | Limit raise or better in !h
  235     E      5CX      300  E C 9  | 
  236     W       4H       50  W H 9  | 
  237     S       4H      650  S H 11 | Jordan truscott 2nt | Cue bid, a !c stopper | Cue bid, a !s stopper
  238     W       5H     -450  W H 11 | 
  239     E       4S     -420  E S 10 | Limit raise or better in !s
  240     S      4HX     -100  S H 9  | 
  241     W       2S     -110  W S 8  | 
  242     W       4D      100  W D 8  | 
  243     S       3D      -50  S D 8  | 
  244     S       4S      680  S S 12 | 
  245     S       4S      620  S S 10 | Forcing 1nt
  246     S       4H      420  S H 10 | Limit raise or better in !h
  247     W      4DX      500  W D 8  | 
  248     S       4S      450  S S 11 | Limit raise or better in !s
  249     S       3H      140  S H 9  | Limit raise or better in !h
  250     S       4H      620  S H 10 | Limit raise or better in !h
  251     S       4S      -50  S S 9  | Limit raise or better in !s
  252     S       3N      630  S NT 10| 
  253     S       2S      110  S S 8  | 
  254     S       4S      420  S S 10 | Michaels cuebid
  255     S       4S      620  S S 10 | Limit raise or better in !s
  256     W       2H      200  W H 6  | 
  257     S       4H      420  S H 10 | 
  258     N       4S      620  N S 10 | Extended acceptance after nt | Cue bid, a !h stopper | Cue bid, a !d stopper
  259     W       4D      100  W D 9  | 
  260     W       3H     -170  W H 10 | Support double redouble
  261     E      5DX     -550  E D 11 | Support 1nt
  262     W       4C     -150  W C 11 | 
  263     S       4H     -100  S H 9  | 
  264     W      4SX     -590  W S 10 | Limit raise or better in !h
  265     S       2S      140  S S 9  | 
  266     S       4S      620  S S 10 | 
  267     S       3S      170  S S 10 | 
  268     S       2S      170  S S 10 | 
  269     S       3H      140  S H 9  | 
  270     S       4H      450  S H 11 | Splinter
  271     S      5HX      850  S H 11 | Unusual 2nt | Limit raise or better in !h
  272     S       3H      -50  S H 8  | Limit raise or better in !h
  273     W       3H       50  W H 8  | 
  274     W      5HX      300  W H 9  | Limit raise or better in !s
  275     N       2S      140  N S 9  | Support double redouble
  276     S       2D       90  S D 8  | 
  277     W       3D       50  W D 8  | 
  278     S       4C     -100  S C 8  | 
  279     W       3D     -110  W D 9  | 
  280     S      4SX      590  S S 10 | Limit raise or better in !s
  281     S       3D      110  S D 9  | 
  282     W       2H     -140  W H 9  | 
  283     W       2D      100  W D 6  | 
  284     N       2S     -200  N S 6  | 
  285     S       4S     -100  S S 9  | Texas
  286     E       2D     -110  E D 9  | 
  287     W       3D      150  W D 6  | 
  288     S       4S      450  S S 11 | 1m-3m inviting
  289     S       4S      420  S S 10 | 1m-3m inviting
  290     W       4S     -420  W S 10 | Limit raise or better in !h
  291     S       2S      110  S S 8  | 
  292     W       1N      100  W NT 6 | 
  293     W       3D       50  W D 8  | 
  294     S       2N     -150  S NT 5 | Cappelletti, any 6+suit
  295     S       4S     -100  S S 9  | Forcing 1nt
  296     E       5C     -420  E C 12 | 
  297     W       4H     -620  W H 10 | Support double redouble
  298     W       4H      100  W H 9  | 
  299     N       3N      400  N NT 9 | Support double redouble
  300     S       4H     -200  S H 8  | Limit raise or better in !h
  301     S       4H      620  S H 10 | Jordan truscott 2nt | Cue bid, a !c stopper | Cue bid, a !c stopper
  302     S       2C      110  S C 9  | 
  303     W       3D      100  W D 7  | 
  304     N       1N       90  N NT 7 | 
  305     S       3C      170  S C 12 | 
  306     W       6H       50  W H 11 | Exclusion, for !h
  307     S       5D      420  S D 12 | 
  308     E       2S     -140  E S 9  | 
  309     S       3S     -100  S S 8  | 
  310     S       3S      -50  S S 8  | 
  311     S       3N      630  S NT 10| Strength cue bid
  312     S       4S     -150  S S 7  | 
  313     S       2N      120  S NT 8 | 
  314     S       4S      650  S S 11 | 1m-3m inviting | Cue bid, a !c stopper
  315     S       4H      450  S H 11 | Limit raise or better in !h
  316     W      4SX     -890  W S 13 | Limit raise or better in !h
  317     S       2S     -100  S S 7  | Support 1nt
  318     W      4HX      500  W H 7  | Support 1nt
  319     W       2D      -90  W D 8  | 
  320     S       2N      120  S NT 8 | 
  321     S       3H      200  S H 11 | 
  322     S       3S     -100  S S 8  | 
  323     S       4S      450  S S 11 | Limit raise or better in !s
  324     W       3H      100  W H 8  | 
  325     S       4H      650  S H 11 | Limit raise or better in !h
  326     S       3C      150  S C 11 | 
  327     S       3N      600  S NT 9 | Cappelletti, any 6+suit | Stayman
  328     W       4S      100  W S 8  | 
  329     S       4H      480  S H 12 | Limit raise or better in !h
  330     S      4HX      790  S H 10 | Support 1nt
  331     W      3DX      100  W D 8  | 
  332     S       4S      620  S S 10 | 
  333     N       4H      680  N H 12 | Splinter
  334     S       3S      170  S S 10 | 
  335     S       4H     -100  S H 9  | Artificial
  336     S       4S      450  S S 11 | Stayman
  337     S       4H      450  S H 11 | Strength cue bid
  338     E       3H     -140  E H 9  | 
  339     S      7HX     1770  S H 13 | Support 1nt | Exclusion, for !h
  340     S       4S      620  S S 10 | 
  341     W       4H     -480  W H 12 | 
  342     N       3C      130  N C 10 | 
  343     S       4S     -100  S S 9  | Limit raise or better in !s | Cue bid, a !h stopper | Cue bid, a !d stopper
  344     W       1H     -170  W H 10 | 
  345     S       2H      110  S H 8  | 
  346     S       5H      680  S H 12 | Limit raise or better in !h
  347     S       4S      450  S S 11 | 
  348     W      3HX     -530  W H 9  | 
  349     W       3C      300  W C 6  | 
  350     S       4H      450  S H 11 | Stayman | Artificial | Limit raise or better in !h
  351     S       4S      620  S S 10 | Support 1nt | Splinter
